,0
2019-01-01 00:00:00,6003.569908835992
2019-01-01 01:00:00,3710.957581916791
2019-01-01 02:00:00,2422.3558881943436
2019-01-01 03:00:00,1645.1596001414202
2019-01-01 04:00:00,1511.2066435411377
2019-01-01 05:00:00,2036.8469021645376
2019-01-01 06:00:00,4413.6123223919185
2019-01-01 07:00:00,6937.085930133922
2019-01-01 08:00:00,9056.733804367665
2019-01-01 09:00:00,9833.293209357576
2019-01-01 10:00:00,9830.879808493813
2019-01-01 11:00:00,9682.624738797625
2019-01-01 12:00:00,9927.14258286701
2019-01-01 13:00:00,9930.503240844691
2019-01-01 14:00:00,10243.950576518631
2019-01-01 15:00:00,10250.740505180387
2019-01-01 16:00:00,9232.283533428175
2019-01-01 17:00:00,9972.584369346443
2019-01-01 18:00:00,10999.747060078285
2019-01-01 19:00:00,10546.910472385436
2019-01-01 20:00:00,9408.868008161226
2019-01-01 21:00:00,9030.899665893352
2019-01-01 22:00:00,8047.679190469097
2019-01-01 23:00:00,6303.901576905232
2019-01-02 00:00:00,4386.195073953961
2019-01-02 01:00:00,2699.867937826367
2019-01-02 02:00:00,1754.7807422382127
2019-01-02 03:00:00,1186.5046842663583
2019-01-02 04:00:00,1084.944971804726
2019-01-02 05:00:00,1455.48680181914
2019-01-02 06:00:00,3138.710175910554
2019-01-02 07:00:00,4908.849905308745
2019-01-02 08:00:00,6376.107786858762
2019-01-02 09:00:00,6886.478157672972
2019-01-02 10:00:00,6847.536314501379
2019-01-02 11:00:00,6706.642067008731
2019-01-02 12:00:00,6836.425781782364
2019-01-02 13:00:00,6798.105094458474
2019-01-02 14:00:00,6969.646953570749
2019-01-02 15:00:00,6930.041402571974
2019-01-02 16:00:00,6200.58955250529
2019-01-02 17:00:00,6652.3617668770175
2019-01-02 18:00:00,7286.02822966606
2019-01-02 19:00:00,6935.27116117205
2019-01-02 20:00:00,6140.29867452371
2019-01-02 21:00:00,5847.555769434991
2019-01-02 22:00:00,5168.629863774083
2019-01-02 23:00:00,4014.5615985132404
2019-01-03 00:00:00,2768.820239071929
2019-01-03 01:00:00,1688.7782937359425
2019-01-03 02:00:00,1087.2055962820818
2019-01-03 03:00:00,727.849768391296
2019-01-03 04:00:00,658.6833000683143
2019-01-03 05:00:00,874.1267014737429
2019-01-03 06:00:00,1863.808029429188
2019-01-03 07:00:00,2880.613880483568
2019-01-03 08:00:00,3695.4817693498585
2019-01-03 09:00:00,3939.663105988369
2019-01-03 10:00:00,3864.192820508943
2019-01-03 11:00:00,3730.659395219837
2019-01-03 12:00:00,3745.7089806977183
2019-01-03 13:00:00,3665.706948072256
2019-01-03 14:00:00,3695.3433306228662
2019-01-03 15:00:00,3609.34229996356
2019-01-03 16:00:00,3168.8955715824054
2019-01-03 17:00:00,3332.1391644075907
2019-01-03 18:00:00,3572.3093992538347
2019-01-03 19:00:00,3323.6318499586623
2019-01-03 20:00:00,2871.7293408861947
2019-01-03 21:00:00,2664.2118729766285
2019-01-03 22:00:00,2289.580537079068
2019-01-03 23:00:00,1725.2216201212486
2019-01-04 00:00:00,1151.4454041898969
